,Eco,Eco Plus,Gender,Customer Type,Age,Type of Travel,Flight Distance,Wifi Service,Departure/Arrival,Online Booking,Gate Location,Food and Drink,Online Boarding,Seat Comfort,Inflight Entertainment,On-board Service,Leg Room,Baggage,Checkin Service,Inflight Service,Cleanliness,Departure Delay,Arrival Delay,Satisfaction
23,0,0,0.0,1.0,25,1.0,1428,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0,0.0,1.0
24,1,0,1.0,0.0,30,1.0,528,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0,0.0,0.0
25,1,0,0.0,1.0,62,0.0,710,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0,0.0,0.0
26,0,0,0.0,1.0,24,1.0,3680,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0,0.0,1.0
27,1,0,1.0,1.0,22,1.0,1521,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3,13.0,1.0
28,0,0,0.0,1.0,44,1.0,1543,3,5,3,3,5,4,5,5,5,5,5,5,5,5,0,0.0,1.0
29,1,0,0.0,1.0,51,1.0,235,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0,0.0,0.0
30,0,0,0.0,1.0,43,0.0,1235,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,0.0,0.0
31,1,0,1.0,1.0,56,1.0,308,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,0.0,1.0
32,1,0,0.0,0.0,41,1.0,624,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0,0.0,0.0
33,1,0,0.0,1.0,22,0.0,1846,4,5,4,4,5,4,5,5,5,4,4,4,4,5,40,68.0,0.0
34,1,0,1.0,1.0,53,1.0,192,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0,1.0,1.0
35,1,0,0.0,1.0,12,0.0,674,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,70.0,0.0
36,0,0,1.0,1.0,39,1.0,370,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10,12.0,1.0
37,0,0,1.0,1.0,55,1.0,3169,1,1,1,1,3,5,4,5,5,5,5,3,5,5,73,68.0,1.0
38,0,0,1.0,0.0,32,1.0,802,4,4,4,2,2,4,4,2,4,2,4,3,5,2,0,10.0,0.0
39,1,0,1.0,1.0,40,0.0,628,1,4,1,3,5,1,5,5,3,2,5,5,4,5,4,0.0,0.0
40,0,0,1.0,0.0,42,1.0,373,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0,0.0,0.0
41,1,0,0.0,0.0,24,1.0,725,4,4,4,2,2,4,2,2,4,2,3,1,5,2,0,4.0,1.0
42,0,0,0.0,1.0,22,1.0,277,3,3,3,3,3,3,3,1,5,4,3,3,2,3,116,177.0,0.0
43,0,0,1.0,1.0,28,1.0,1024,1,1,1,1,4,4,4,4,5,3,5,5,4,4,0,3.0,1.0
44,0,1,1.0,1.0,36,1.0,267,2,3,3,3,2,2,2,2,1,1,3,4,4,2,59,55.0,0.0
45,1,0,1.0,1.0,62,1.0,550,5,1,1,1,4,2,1,5,5,5,5,5,5,2,92,90.0,1.0
46,0,0,1.0,1.0,60,1.0,1889,2,2,3,2,3,5,4,5,5,5,5,5,5,3,0,0.0,1.0
47,1,0,1.0,1.0,59,0.0,460,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4,2.0,0.0
48,0,0,1.0,1.0,49,1.0,3295,4,4,3,4,2,5,4,5,5,5,5,5,5,3,0,4.0,1.0
49,1,0,1.0,1.0,44,0.0,1205,2,4,2,3,4,4,3,4,4,2,4,2,4,2,0,0.0,0.0
50,0,1,1.0,1.0,58,0.0,990,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0,0.0,0.0
51,0,0,0.0,0.0,24,1.0,444,4,1,4,2,2,4,2,2,5,3,5,3,5,2,20,32.0,1.0
52,1,0,1.0,1.0,53,1.0,520,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17,0.0,1.0
53,1,0,0.0,1.0,56,1.0,321,2,3,4,3,2,2,2,2,2,5,3,3,3,2,0,0.0,0.0
54,0,0,1.0,1.0,30,1.0,651,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0,0.0,1.0
55,0,0,0.0,0.0,27,1.0,764,3,3,3,2,2,3,2,2,2,1,3,3,2,2,30,46.0,0.0
56,0,0,0.0,1.0,27,1.0,566,3,3,3,3,5,5,5,5,4,3,1,1,1,5,0,0.0,1.0
57,1,0,1.0,1.0,67,0.0,626,3,4,3,1,2,4,5,3,3,3,3,3,3,5,0,0.0,0.0
58,1,0,1.0,1.0,32,0.0,130,3,1,3,3,4,3,5,4,2,2,4,5,3,4,3,4.0,0.0
59,1,0,0.0,0.0,36,1.0,331,2,1,2,1,1,2,1,1,4,3,4,1,3,1,0,0.0,0.0
60,0,0,0.0,1.0,44,1.0,158,3,3,3,3,5,4,5,4,4,5,4,4,4,5,66,57.0,1.0
61,1,0,1.0,1.0,70,0.0,1829,1,4,1,1,2,5,5,5,5,1,5,4,5,3,0,0.0,0.0
62,1,0,1.0,1.0,55,0.0,646,3,2,3,4,4,3,4,5,5,3,5,4,5,3,0,3.0,0.0
63,1,0,0.0,1.0,66,1.0,404,4,1,1,1,4,4,4,4,3,1,3,2,5,4,9,6.0,1.0
64,0,0,1.0,1.0,19,1.0,2738,5,5,5,5,3,4,3,3,5,3,3,1,2,3,0,0.0,1.0
65,0,1,1.0,1.0,53,0.0,964,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6,0.0,0.0
66,0,0,0.0,1.0,22,1.0,1660,2,2,2,2,2,2,2,2,4,3,2,2,4,2,0,0.0,0.0
67,1,0,1.0,1.0,69,0.0,872,2,3,2,2,4,2,3,5,5,2,5,3,5,3,14,0.0,0.0
68,0,0,1.0,1.0,42,1.0,1898,5,5,5,5,5,4,4,5,5,5,5,4,5,3,49,47.0,1.0
69,0,0,1.0,1.0,41,1.0,967,2,2,2,2,2,3,5,4,4,4,4,5,4,5,44,40.0,1.0
70,0,0,1.0,1.0,53,0.0,1242,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3,0.0,0.0
71,0,0,0.0,1.0,35,1.0,1042,3,2,2,2,2,4,3,3,3,3,3,3,3,2,0,0.0,0.0
72,0,0,1.0,1.0,54,0.0,153,3,5,3,5,2,4,5,2,2,3,2,4,2,5,0,0.0,0.0
73,0,0,0.0,1.0,44,1.0,366,3,3,2,3,2,5,4,4,4,4,4,3,4,4,5,24.0,1.0
74,0,1,1.0,0.0,26,1.0,913,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0.0,0.0
75,1,0,1.0,1.0,44,0.0,528,2,5,2,3,2,5,4,5,5,2,5,3,5,3,0,0.0,0.0
76,1,0,1.0,0.0,24,1.0,1172,2,3,3,2,5,3,5,5,4,5,5,4,5,5,28,27.0,0.0
77,1,0,1.0,1.0,54,0.0,999,2,4,2,4,4,5,5,5,5,2,5,5,5,4,0,0.0,0.0
78,0,1,0.0,1.0,42,1.0,489,2,2,2,2,2,2,2,2,4,3,3,1,2,2,0,0.0,0.0
79,1,0,0.0,0.0,36,1.0,692,1,1,1,4,1,1,1,1,1,5,3,1,2,1,0,0.0,0.0
80,0,0,1.0,1.0,61,1.0,1585,2,2,3,2,1,1,5,3,3,4,3,4,3,4,24,20.0,1.0
81,1,0,1.0,1.0,50,0.0,140,2,4,2,4,4,4,5,2,2,2,2,3,2,5,0,0.0,0.0
82,0,0,0.0,1.0,27,1.0,2729,3,3,3,3,5,5,5,5,4,4,4,5,2,5,44,52.0,1.0
83,0,0,0.0,1.0,55,1.0,1400,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,0.0,0.0
84,1,0,0.0,0.0,21,1.0,447,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7,0.0,0.0
85,0,0,1.0,1.0,31,0.0,334,2,1,2,4,5,2,5,5,2,4,3,2,4,5,5,0.0,0.0
86,1,0,1.0,0.0,37,1.0,158,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,20.0,0.0
87,0,0,1.0,1.0,50,1.0,3696,1,1,5,1,2,4,4,5,5,5,5,4,5,5,9,0.0,1.0
88,1,0,1.0,1.0,21,0.0,846,1,4,1,3,3,1,3,3,5,4,5,4,5,3,9,17.0,0.0
89,1,0,1.0,1.0,53,1.0,329,1,1,1,3,1,3,3,4,4,1,4,4,4,1,0,0.0,0.0
90,0,0,0.0,1.0,45,1.0,2580,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0,11.0,1.0
91,1,0,1.0,0.0,42,1.0,84,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0,34.0,0.0
92,0,0,0.0,1.0,59,1.0,3358,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,0.0,1.0
93,1,0,1.0,1.0,54,1.0,308,2,1,4,4,5,3,3,2,2,2,2,4,2,1,83,95.0,0.0
94,0,0,1.0,1.0,46,1.0,912,1,1,1,1,2,4,4,4,4,4,4,5,4,4,5,0.0,1.0
95,0,1,1.0,1.0,52,0.0,406,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0,0.0,0.0
96,1,0,1.0,1.0,38,0.0,397,2,5,2,2,5,2,5,5,5,4,4,5,5,5,0,0.0,0.0
97,0,0,0.0,1.0,35,1.0,2409,3,3,3,3,1,4,3,4,4,4,4,3,4,3,0,0.0,1.0
98,1,0,1.0,1.0,41,0.0,545,2,2,2,3,4,2,4,4,1,3,4,1,4,4,0,0.0,0.0
99,0,0,1.0,0.0,40,1.0,2419,2,2,2,3,4,2,4,4,3,2,3,3,5,4,0,0.0,0.0
100,1,0,1.0,0.0,36,1.0,1061,2,2,2,1,4,2,4,4,1,4,2,4,2,4,13,0.0,0.0
101,1,0,0.0,1.0,67,0.0,899,2,5,2,2,2,2,2,2,5,2,4,5,5,2,0,0.0,0.0
102,1,0,1.0,1.0,38,0.0,293,4,4,4,4,5,4,5,5,2,2,4,4,4,5,5,0.0,1.0
103,1,0,1.0,1.0,50,0.0,1085,3,5,3,2,5,5,5,5,5,3,5,3,5,4,0,0.0,0.0
104,0,0,0.0,1.0,50,1.0,2475,5,5,5,5,2,5,4,2,2,2,2,3,2,5,0,0.0,1.0
105,0,0,0.0,1.0,54,1.0,2544,5,5,3,5,5,4,5,3,3,3,3,4,3,5,62,66.0,1.0
106,0,0,0.0,1.0,56,1.0,2556,4,4,4,4,4,5,4,4,4,4,4,3,4,5,117,113.0,1.0
107,1,0,0.0,1.0,38,0.0,237,3,4,3,4,2,3,2,2,3,3,4,4,3,2,0,2.0,0.0
108,1,0,1.0,1.0,7,0.0,1120,3,5,3,3,2,3,2,2,4,4,4,5,5,2,16,13.0,0.0
109,0,0,1.0,1.0,32,1.0,2668,5,5,4,5,4,4,4,4,5,2,5,5,5,4,2,0.0,1.0
110,1,0,0.0,1.0,45,1.0,1660,4,1,1,1,4,4,4,4,2,5,2,4,3,4,0,7.0,0.0
111,1,0,0.0,0.0,25,1.0,1310,2,2,2,4,3,2,3,3,1,4,3,1,4,3,0,24.0,0.0
112,0,0,1.0,1.0,45,1.0,2374,5,5,5,5,4,5,4,4,4,4,4,5,4,5,0,0.0,1.0
113,1,0,0.0,1.0,34,0.0,209,3,4,1,1,1,1,1,1,1,5,5,2,3,1,0,0.0,0.0
114,0,1,0.0,1.0,20,0.0,305,3,4,3,3,1,3,1,1,3,3,4,4,5,1,5,2.0,0.0
115,1,0,1.0,0.0,36,1.0,247,2,1,2,3,1,2,1,1,4,1,3,1,2,1,16,6.0,0.0
116,1,0,0.0,0.0,36,1.0,338,3,4,3,4,2,3,2,2,3,4,3,1,3,2,0,0.0,0.0
117,0,0,0.0,1.0,27,1.0,3200,1,1,1,1,5,5,5,5,4,5,2,2,1,5,0,0.0,1.0
118,1,0,0.0,1.0,40,0.0,1368,3,4,2,4,3,2,3,3,4,2,3,3,4,3,0,0.0,0.0
119,0,0,0.0,1.0,31,1.0,1999,4,5,4,4,5,5,5,5,4,4,4,3,4,5,0,4.0,1.0
120,0,1,0.0,1.0,25,1.0,680,1,5,1,2,1,1,1,1,3,1,4,5,5,1,0,0.0,1.0
121,0,0,0.0,1.0,42,1.0,537,2,2,2,2,1,5,3,5,5,5,5,4,5,3,0,0.0,1.0
122,1,0,1.0,1.0,45,1.0,288,5,1,1,1,1,2,3,5,5,5,5,1,5,3,29,40.0,1.0
123,0,0,0.0,1.0,59,0.0,639,2,1,2,3,4,3,3,3,3,2,3,2,3,1,0,11.0,0.0
124,1,0,0.0,1.0,34,0.0,201,3,5,3,3,2,3,5,2,5,2,1,3,1,2,3,8.0,0.0
125,1,0,1.0,1.0,22,0.0,213,3,5,3,4,3,3,1,3,1,5,1,3,2,3,0,17.0,0.0
126,1,0,0.0,1.0,21,0.0,1096,2,2,2,4,2,2,3,2,3,1,3,2,4,2,0,0.0,0.0
127,0,0,0.0,1.0,26,1.0,1680,3,1,1,1,3,3,3,3,1,2,4,2,3,3,27,10.0,0.0
128,0,0,0.0,1.0,37,1.0,2401,2,2,2,2,5,3,1,4,4,4,4,1,4,5,94,86.0,1.0
129,0,0,0.0,1.0,38,1.0,2746,2,2,2,2,2,5,2,4,4,4,4,1,4,5,0,0.0,1.0
130,1,0,1.0,1.0,17,0.0,89,3,4,3,1,5,3,3,5,3,4,5,5,5,5,0,0.0,0.0
131,0,1,0.0,1.0,15,0.0,192,2,4,2,3,5,2,5,5,5,4,5,5,5,5,5,8.0,0.0
132,1,0,1.0,1.0,53,0.0,404,3,3,3,4,4,4,4,5,5,3,5,1,5,2,0,0.0,0.0
133,0,0,0.0,0.0,39,1.0,546,4,4,4,4,2,4,2,2,3,5,5,3,4,2,93,88.0,0.0
134,0,0,0.0,1.0,40,1.0,2400,4,3,4,4,2,4,5,5,5,5,5,3,5,3,0,0.0,1.0
135,0,1,1.0,0.0,28,1.0,599,2,2,2,3,4,2,4,4,3,3,3,1,3,4,0,46.0,0.0
136,0,0,1.0,0.0,27,1.0,2342,3,3,3,4,2,3,2,2,4,3,5,3,5,2,10,0.0,0.0
137,0,0,1.0,1.0,41,1.0,3046,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,0.0,1.0
138,1,0,1.0,1.0,7,0.0,516,2,4,2,3,5,2,5,5,5,4,5,5,4,5,0,0.0,0.0
139,0,0,0.0,0.0,48,1.0,759,3,3,3,2,2,3,2,2,4,2,5,4,5,2,2,1.0,0.0
140,1,0,0.0,1.0,13,1.0,1400,2,1,1,1,2,1,2,2,4,3,3,3,4,2,0,0.0,0.0
141,0,0,1.0,1.0,48,1.0,491,3,3,3,3,4,4,4,4,4,4,4,3,4,5,0,0.0,1.0
142,1,0,1.0,1.0,49,0.0,134,3,3,3,3,5,3,3,4,4,3,4,1,4,4,8,3.0,0.0
143,0,0,0.0,0.0,26,1.0,900,5,5,5,3,1,5,1,1,4,3,5,5,5,1,5,0.0,1.0
144,0,0,0.0,1.0,22,1.0,3648,2,2,2,2,3,3,3,3,2,4,3,5,3,3,0,0.0,1.0
145,0,0,1.0,1.0,53,1.0,3769,3,1,5,1,1,3,1,2,4,3,4,1,2,1,180,178.0,0.0
146,1,0,1.0,1.0,43,1.0,563,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0.0,1.0
147,0,0,0.0,1.0,56,1.0,3131,1,1,1,1,2,5,4,4,4,4,5,4,4,5,0,0.0,1.0
148,1,0,1.0,1.0,69,0.0,631,3,5,2,5,3,3,4,5,5,2,5,1,5,1,0,0.0,0.0
149,1,0,0.0,1.0,59,0.0,351,4,3,4,4,1,4,1,1,1,5,4,2,4,1,0,0.0,1.0
150,0,0,1.0,1.0,56,1.0,1189,5,5,3,5,5,4,5,2,2,2,2,4,2,3,9,0.0,1.0
151,1,0,0.0,1.0,11,0.0,562,5,5,5,5,3,5,3,3,4,4,5,1,2,3,0,0.0,1.0
152,1,0,1.0,1.0,25,1.0,1874,4,3,3,3,4,4,3,4,3,1,4,5,1,4,86,78.0,1.0
153,1,0,1.0,0.0,29,1.0,158,4,1,4,1,2,4,2,2,1,5,2,2,2,2,0,0.0,1.0
154,1,0,1.0,1.0,48,1.0,95,5,3,3,3,1,2,1,5,5,5,5,1,5,2,0,0.0,1.0
155,0,0,1.0,1.0,42,1.0,266,1,1,1,1,4,3,4,4,4,4,4,2,4,1,0,0.0,1.0
156,1,0,0.0,0.0,15,1.0,449,1,4,1,2,3,1,4,3,1,3,5,4,5,3,0,0.0,0.0
157,0,0,1.0,0.0,49,1.0,1416,3,4,4,2,2,3,2,2,4,2,5,5,4,2,0,0.0,0.0
158,0,0,0.0,1.0,41,1.0,2388,2,2,2,2,5,5,4,4,4,4,4,5,4,5,29,18.0,1.0
159,0,0,0.0,1.0,43,1.0,1678,1,1,2,1,3,4,4,2,2,2,2,4,2,5,0,0.0,1.0
160,0,0,0.0,1.0,60,1.0,1972,5,5,2,5,4,3,5,5,5,5,5,5,5,3,0,0.0,1.0
161,1,0,1.0,1.0,42,0.0,337,4,1,4,3,3,3,3,3,3,4,1,2,3,2,0,0.0,1.0
162,1,0,1.0,1.0,8,0.0,253,3,3,3,1,4,3,4,4,5,5,2,4,3,4,0,0.0,0.0
163,1,0,1.0,1.0,42,1.0,212,5,3,3,3,5,3,5,5,5,5,5,5,5,2,82,72.0,1.0
164,0,1,0.0,0.0,18,1.0,342,1,1,1,3,3,1,3,3,2,1,4,1,3,3,32,41.0,0.0
165,0,0,0.0,1.0,47,1.0,3556,2,2,2,2,3,5,3,5,5,5,5,3,5,4,0,0.0,1.0
166,1,0,1.0,0.0,27,1.0,191,4,4,4,4,5,4,5,5,2,1,3,2,3,5,16,12.0,0.0
167,0,1,1.0,1.0,67,0.0,693,3,1,3,1,5,1,2,1,1,3,1,1,1,4,100,91.0,0.0
168,0,0,0.0,0.0,38,1.0,641,5,5,5,3,2,5,2,2,5,5,4,3,5,2,0,0.0,1.0
169,1,0,1.0,0.0,20,1.0,471,4,5,4,4,3,4,3,3,4,3,4,5,4,3,0,0.0,0.0
170,0,0,1.0,1.0,60,1.0,3823,2,2,1,2,4,4,4,5,5,4,5,3,5,3,1,0.0,1.0
171,0,0,0.0,0.0,23,1.0,282,4,5,4,1,4,4,4,4,3,3,5,3,4,4,9,1.0,1.0
172,0,0,0.0,0.0,25,1.0,544,3,5,3,1,2,3,2,2,4,2,5,4,4,2,0,0.0,0.0
173,0,0,1.0,1.0,38,1.0,2955,3,3,3,3,3,5,5,4,4,4,4,3,4,3,0,0.0,1.0
174,0,0,1.0,1.0,40,1.0,2806,1,1,1,1,3,1,5,5,5,5,5,5,5,5,0,4.0,1.0
175,1,0,0.0,1.0,19,0.0,587,3,4,3,5,1,3,1,1,5,3,5,4,4,1,0,0.0,0.0
176,0,0,1.0,1.0,61,1.0,2073,3,3,3,3,4,5,4,4,4,4,4,4,4,5,6,0.0,1.0
177,1,0,0.0,1.0,44,0.0,1249,3,4,3,3,5,3,5,5,5,2,3,4,4,5,25,6.0,0.0
178,1,0,1.0,1.0,22,0.0,284,3,5,3,1,3,3,3,3,4,5,5,3,5,3,34,35.0,0.0
179,1,0,1.0,0.0,8,1.0,946,2,2,2,2,3,2,3,3,1,5,3,4,3,3,2,0.0,0.0
180,0,0,1.0,1.0,45,1.0,3947,3,4,4,4,3,4,4,3,3,3,3,4,3,3,25,16.0,0.0
181,1,0,0.0,1.0,46,0.0,895,4,5,4,1,1,4,1,1,2,1,3,3,5,1,40,25.0,1.0
182,0,0,1.0,1.0,54,1.0,1634,3,2,5,2,4,4,4,3,3,3,3,3,3,1,90,77.0,0.0
183,1,0,0.0,1.0,62,0.0,588,2,1,1,2,1,1,1,1,1,4,3,2,3,1,0,0.0,0.0
184,0,0,1.0,1.0,25,1.0,2533,5,5,5,5,2,2,2,2,5,1,2,1,3,2,0,0.0,1.0
185,1,0,1.0,1.0,32,0.0,641,3,4,3,2,2,3,2,2,4,5,4,5,4,2,0,0.0,0.0
186,1,0,1.0,1.0,65,0.0,581,4,4,4,2,4,4,4,1,1,4,1,4,1,5,1,3.0,0.0
187,0,0,0.0,0.0,40,1.0,223,2,2,2,4,2,2,2,2,4,4,4,3,5,2,0,0.0,0.0
188,0,1,1.0,1.0,30,1.0,326,1,1,1,5,2,1,2,2,4,1,3,4,5,2,0,0.0,1.0
189,1,0,1.0,1.0,67,0.0,599,3,1,3,2,1,1,2,3,3,3,3,2,3,1,0,0.0,0.0
190,0,0,0.0,1.0,51,1.0,2075,5,5,5,5,2,5,5,5,5,5,5,3,5,3,0,0.0,1.0
191,0,0,1.0,1.0,47,1.0,964,5,5,4,5,5,4,5,5,5,5,5,4,5,3,1,3.0,1.0
192,1,0,1.0,1.0,38,1.0,599,1,4,4,4,1,1,1,1,2,3,3,3,3,1,8,0.0,0.0
193,0,0,0.0,1.0,54,1.0,3138,1,1,1,1,5,5,4,4,4,4,4,3,4,4,0,0.0,1.0
194,1,0,1.0,1.0,57,0.0,251,1,5,1,5,3,2,3,1,1,1,3,5,1,3,0,4.0,0.0
195,1,0,0.0,1.0,13,0.0,1119,1,5,1,3,2,1,2,2,3,4,4,5,5,2,0,0.0,0.0
196,1,0,1.0,0.0,20,1.0,337,4,1,4,3,4,4,4,4,3,5,4,4,5,4,0,0.0,1.0
197,0,0,1.0,1.0,45,1.0,759,2,2,2,2,2,2,1,2,2,2,2,3,2,4,23,94.0,0.0
198,0,0,1.0,1.0,51,1.0,2344,2,2,2,2,3,4,5,3,3,3,3,3,3,3,0,0.0,1.0
199,0,0,0.0,0.0,25,1.0,296,1,1,1,3,2,1,2,2,4,4,4,5,5,2,0,0.0,1.0
200,1,0,1.0,1.0,39,0.0,1005,1,4,2,3,2,1,5,5,2,4,5,5,4,5,168,163.0,0.0
201,0,0,1.0,1.0,46,1.0,580,3,3,3,3,3,5,4,4,4,4,4,3,4,5,18,16.0,1.0
202,1,0,0.0,1.0,53,1.0,359,1,3,3,3,1,1,1,1,1,2,3,4,4,1,0,0.0,0.0
203,1,0,1.0,1.0,61,0.0,1217,1,4,1,1,5,5,5,4,4,1,4,4,4,4,0,0.0,1.0
204,0,1,1.0,1.0,61,1.0,384,4,5,5,5,3,3,2,4,4,4,4,3,4,5,96,102.0,1.0
205,1,0,0.0,1.0,16,0.0,2586,3,5,3,4,4,3,4,4,5,2,4,5,4,4,45,42.0,0.0
206,0,0,1.0,1.0,44,1.0,2903,2,1,1,1,2,3,3,2,2,2,2,3,2,1,0,1.0,0.0
207,0,0,1.0,1.0,17,1.0,3170,5,5,5,5,5,5,5,5,1,3,3,1,5,5,16,0.0,1.0
208,1,0,1.0,1.0,50,1.0,1276,2,2,2,2,4,2,3,2,2,2,2,1,2,1,35,49.0,0.0
209,0,0,1.0,0.0,40,1.0,825,4,4,4,3,5,4,5,5,5,3,4,3,5,5,0,4.0,1.0
210,0,0,0.0,1.0,47,1.0,2204,5,5,5,5,4,4,4,2,2,2,2,4,2,3,6,0.0,1.0
211,0,0,1.0,1.0,80,1.0,3464,1,1,1,1,2,4,4,4,4,4,4,5,4,4,0,0.0,1.0
212,1,0,1.0,1.0,38,0.0,562,5,3,5,3,4,5,4,4,1,1,3,4,3,4,0,0.0,1.0
213,1,0,0.0,1.0,31,0.0,404,5,1,5,3,3,5,3,3,4,2,4,4,4,3,0,0.0,1.0
214,0,0,0.0,1.0,59,1.0,1199,4,2,2,2,5,4,4,4,4,4,4,3,4,1,0,15.0,0.0
215,0,0,1.0,1.0,22,1.0,1968,4,4,4,4,4,4,4,4,1,2,3,4,4,4,0,0.0,0.0
216,0,0,1.0,1.0,53,1.0,2560,5,5,5,5,5,4,5,3,3,3,3,3,3,3,0,3.0,1.0
217,0,1,1.0,1.0,56,1.0,308,4,2,2,2,5,3,4,4,4,4,4,5,4,2,0,0.0,1.0
218,1,0,1.0,1.0,48,0.0,362,4,4,5,3,2,4,5,3,3,5,3,5,3,4,0,0.0,0.0
219,0,0,0.0,0.0,38,1.0,1562,3,3,3,5,2,3,2,2,5,2,5,3,4,2,2,25.0,0.0
220,1,0,0.0,1.0,64,0.0,129,1,1,1,2,1,1,1,1,3,2,5,4,4,1,13,9.0,0.0
221,1,0,0.0,1.0,67,0.0,591,2,4,2,3,5,2,3,5,4,4,4,3,5,5,0,0.0,0.0
222,0,0,1.0,1.0,62,1.0,3692,2,2,4,2,3,4,2,4,4,4,4,1,4,2,0,0.0,1.0
223,0,0,0.0,1.0,57,1.0,1859,1,1,1,1,2,5,5,4,4,4,4,5,4,5,16,15.0,1.0
224,1,0,1.0,0.0,27,1.0,986,2,1,1,3,1,2,1,1,1,5,1,1,3,1,24,32.0,0.0
225,1,0,1.0,0.0,25,1.0,1024,1,1,1,3,5,1,5,5,1,4,4,1,4,5,13,11.0,0.0
